name__-,location1__-,location2__-,location3__-,huxing__-,area__-,totality__-,meanPrice__-
中国铁建花语金郡,大兴,瀛海,南海子公园西侧(南五环旧忠桥向南第二个红绿灯西300米),3室,150,1060,66000
中国铁建万科翡翠长安,门头沟,门头沟其它,西长安街沿线与六环交汇处西南1.2公里处,3室,166,950,57000
电建金地华宸,门头沟,门头沟其它,长安街西延线南侧约500米,3室,180,1700,64000
北辰墅院1900,顺义,马坡,顺义区顺兴街11号院望尊园,4室,251,,43000
首开璞v公馆,丰台,方庄,紫芳园五区,4室,236,2500,106000
中昂时代广场,门头沟,大峪,门头沟路9号博物馆对面,,,,100000
北辰墅院1900,顺义,马坡,顺义区顺兴街11号院望尊园,3室,120,508,43000
首创远洋禧瑞天著,亦庄开发区,通州其它,科创十一街与经海九路交汇处西南角（亦庄线次渠南站200米）,2室,89,430,52695
华远裘马四季,门头沟,大峪,增产路16号院,3室,156,950,60000
懋源钓云台,丰台,玉泉营,"西三环康庄东路于丰台东路交汇西南角, 康庄东路9号院",4室,251,3263,130000
V7九间堂,通州,潞苑,通燕高速耿庄桥北出口中化石油对面,4室,220,1700,77272.7273
北京城建国誉府,房山,长阳,地铁良乡大学城北站东北约1300米，文昌东路与阜盛东街交汇处,4室,143,1000,48000
御汤山熙园,昌平,昌平其它,小汤山疗养院西侧，紧邻安泗路，距离北六环61号出口约2000米,4室,300,1800,60000
华远和墅,大兴,大兴其它,南六环磁各庄桥沿南中轴向南2公里,5室,295,1580,53559.322
天资华府,房山,长阳,长阳CSD办公楼南侧（京港澳高速长阳出口西1000米）,5室,93,,42000
檀香府,门头沟,门头沟其它,京潭大街与潭柘十街交叉口,3室,208,1060,55000
观山源墅,房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,3室,290,1200,47500
燕西华府,丰台,丰台其它,"王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",4室,60,650,49800
远洋新天地,门头沟,门头沟其它,长安街西延线与滨河路南延交汇处（东南侧）,,,,70000
天恒水岸壹号,房山,良乡,良乡大学城西站地铁南侧400米，刺猬河旁,2室,108,500,46296.2963
紫辰院,丰台,岳各庄,岳各庄北桥东北角200米处,4室,266,3192,120000
天恒摩墅,房山,房山其它,周口店镇政府东200米,3室,134,350,26119.403
兴创荣墅,大兴,大兴其它,采育镇育胜街与福源路交叉口西侧350米路南,3室,240,850,35416.6667
景粼原著,朝阳,中央别墅区,京密路与顺黄路交叉路口往西200米,4室,479,4000,83507.3069
利锦府府上,朝阳,东坝,"东五环七棵树出口沿东坝中街向东1500米, 红松园北里18号院",4室,280,1700,60000
中骏西山天Z,门头沟,城子,西山永定楼北300米,4室,117,700,65000
泰禾昌平拾景园,昌平,南邵,地铁昌平线南邵站西100米,3室,210,1200,57142.8571
国瑞熙墅,昌平,北七家,北七家镇定泗路与七北路交叉口东行200米,3室,314,1500,47770.7006
领秀翡翠墅,丰台,丰台其它,"王佐镇长青路南侧, 长青路88号院",3室,137,668,51000
华润西山墅,门头沟,冯村,冯石环路7号院,4室,126,780,61904.7619
北京怡园,昌平,东关,水库路与昌崔路交汇处向北1公里路东,3室,70,430,46000
绿城西府海棠,石景山,石景山其它,隆恩寺路北人大附石景山分校西侧,3室,90,415,52024
颐Z万和,大兴,黄村火车站,新源大街4号线义和庄地铁向北约500米,3室,80,477,55016
泰禾金府大院,丰台,西红门,南四环地铁新宫站南800米,4室,175,1400,80000
北京东湾,通州,万达,通惠北路88号,1室,58,,68500
华发中央公园,房山,良乡,北京市房山区良乡大学城站南900米,3室,85,365,41000
天恒水岸壹号,房山,良乡,良乡大学城西站地铁南侧400米，刺猬河旁,3室,184,1100,59782.6087
观唐云鼎,密云,密云其它,密溪路39号院,4室,170,460,27058.8235
运河铭著,通州,北关,商通大道与榆东一街交叉口，温榆河森林公园东500米,2室,100,460,46000
首创禧瑞山,顺义,马坡,牛栏山镇昌金路与右堤路交界处,3室,141,680,48226.9504
观山源墅,房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,3室,92,420,47500
丽景长安,门头沟,冯村,永定镇石龙西路与三石路交叉口向西200米南侧,3室,152,780,52000
中冶德贤公馆,大兴,旧宫,德贤东路6号院（南四环榴乡桥东南角800米）,3室,186,1250,67204.3011
万年广阳郡九号,房山,长阳,长阳清苑南街与汇商东路交汇处西北角,3室,139,680,48500
