index,title,price,location,sales
1,纽曼 M560,69,广东 深圳,30000
2,尼凯恩 EN3,69,广东 深圳,20000
3,Huawei Honor 9,1099,广东 深圳,20000
4,Huawei Mate 30,6399,广东 深圳,15000
5,Vivo Z5,1298,广东 东莞,10000
6,Redmi Note8 4800,999,北京,10000
7,Redmi K30 ,1699,北京,10000
8,Redmi 8,699,北京,10000
9,Huawei Mate 30,4999,广东 深圳,10000
10,Vivo Z5,1398,广东 东莞,10000
11,Huawei 畅享 10,1399,广东 深圳,10000
12,Huawei Honor 8,1099,广东 深圳,10000
13,iPhone iPhone 11 ,5999,江苏 南京,10000
14,Redmi Note 8,1299,北京,10000
15,Huawei Nova 5,2499,广东 深圳,9000
16,天语 R7,68.9,广西 桂林,8500
17,Huawei Nova 5,1799,广东 深圳,8500
18,Huawei Honor 20,1699,广东 深圳,8500
19,Vivo U3,799,广东 东莞,8000
20,Huawei Honor 20,2199,广东 深圳,8000
21,Huawei P30,3388,广东 深圳,8000
22,OPPO K5,1799,广东 东莞,8000
23,VOVG X27,358,广东 深圳,8000
24,Huawei 畅享 9,699,广东 深圳,7500
25,诺基亚,58,广东 深圳,7500
26,iPhone 7,2160,广东 深圳,7500
27,纽曼 l6,59,广东 深圳,7500
28,Redmi K20,2399,北京,7500
29,iPhone 7,1800,广东 深圳,7000
30,Huawei Honor 30,3299,广东 深圳,7000
31,vjvj X21S,368,广东 深圳,7000
32,Huawei P30,3999,广东 深圳,6500
33,OPPO K3,1638,广东 东莞,6000
34,纽曼 L8S,58,广东 深圳,6000
35,YEPEN,49,广东 深圳,6000
36,Huawei Mate 30,1199,广东 深圳,5500
37,通皓轩 H5,39,广东 深圳,5500
38,Vivo iQOO,1998,广东 东莞,5000
39,iPhone 11 ,4749,浙江 杭州,5000
40,Xiaomi CC9,1199,北京,5000
41,iPhone 8,2600,广东 深圳,5000
42,iPhone 7,1650,上海,4969
43,Huawei Honor 20,1699,广东 深圳,4968
44,小辣椒 Q8,99,广东 深圳,2678
45,Xiaomi CC9,1699,北京,2657
46,Xiaomi Note 8,948,广东 深圳,2580
47,iPhone 7,1800,广东 深圳,2511
48,Huawei Honor 9,1099,广东 深圳,2500
49,Huawei Honor 20,1899,江苏 南京,2472
50,iPhone 10,3180,上海,2445
51,iPhone 7,1500,广东 深圳,2427
52,Huawei T20,128,广东 深圳,2378
53,iPhone 8,2650,广东 深圳,2366
54,iPhone 11 ,10899,江苏 南京,2365
55,iPhone 8,1398,广东 深圳,2346
56,iPhone 8,2200,广东 深圳,2332
57,小辣椒 F6,89,广东 深圳,2249
58,Samsung Galaxy S10,1928,广东 深圳,2239
59,纽曼 L660,109,江苏 南京,2219
60,iPhone 10,3300,广东 深圳,2199
61,诺基亚,69,广东 深圳,2198
62,iPhone 10,3500,广东 深圳,2195
63,尼凯恩 EN3C,99,广东 深圳,2188
64,Huawei Honor 20,1099,山东 济南,2177
65,MeiZu 16,2699,广东 珠海,2145
66,Huawei 畅享 9,699,江苏 南京,2119
67,Redmi 8,749,北京,2107
68,OPPO K5 6400,1799,江苏 南京,2102
69,小辣椒 K3,128,广东 深圳,2080
70,Vivo iQOO,2098,广东 东莞,2069
71,Huawei Honor 20,1099,广东 深圳,2054
72,iPhone 8,2100,广东 广州,2045
73,OPPO A5 ,699,广东 东莞,2041
74,诺基亚,105,广东 深圳,2035
75,Xiaomi CC9,2549,广东 深圳,2024
76,Xiaomi Note 8,948,广东 深圳,2019
77,Xiaomi K20,1298,广东 深圳,2015
78,Huawei Honor 8,999,广东 深圳,1986
79,诺基亚,59,广东 深圳,1960
80,iPhone 8,2150,广东 深圳,1949
81,Huawei Honor 20,2699,广东 深圳,1940
82,meiZu 16,2299,广东 珠海,1940
83,Huawei Nova 5,1799,广东 深圳,1935
84,Vivo S5,2698,广东 东莞,1877
85,Huawei Honor 9,1099,山东 济南,1875
86,纽曼 R15,118,广东 深圳,1868
87,Vivo Z5,1298,江苏 南京,1849
88,Huawei Nova 5,1388,广东 深圳,1819
89,NoKia,129,北京,1814
90,Huawei 畅享 9,749,北京,1804
91,Huawei Honor 20,2099,江苏 南京,1744
92,Redmi K20,2999,江苏 南京,1731
93,诺基亚,158,广东 深圳,1722
94,Huawei Mate 30,6399,江苏 南京,1721
95,Xiaomi K30,1478,广东 深圳,1707
96,Huawei Honor 8,1099,江苏 南京,1702
97,Vivo U3,999,广东 东莞,1692
98,Huawei Nova 5,2699,江苏 南京,1689
99,朵唯 9,489,广东 深圳,1631
100,飞利浦 E183,149,广东 深圳,1622
101,NoKia,129,广东 深圳,1588
102,iPhone 8,1999,广东 深圳,1581
103,iPhone 10,3550,广东 深圳,1579
104,Huawei 畅享 9,488,广东 深圳,1560
105,iPhone 10,3550,广东 深圳,1559
106,纽曼 C5,58,广东 深圳,1556
107,Huawei P30,4488,江苏 南京,1545
108,Vivo X27 ,2498,广东 东莞,1539
109,iPhone 7,1820,广东 深圳,1528
110,Huawei Honor 9,1999,广东 深圳,1514
111,iPhone 8,2110,广东 深圳,1503
112,Huawei Nova 5,1799,安徽 合肥,1490
113,iPhone iPhone 10,2099,广东 深圳,1489
114,Huawei 畅享 10,1199,安徽 合肥,1488
115,Vivo U3,799,江苏 南京,1477
116,iPhone 8,2100,广东 深圳,1474
117,iPhone 11 ,9999,江苏 南京,1470
118,诺基亚,158,广东 深圳,1450
119,Huawei Nova 5,1999,广东 深圳,1445
120,iPhone 8,3488,江苏 南京,1428
121,飞利浦 E109,79,广东 深圳,1419
122,Huawei 畅享 9,1099,广东 深圳,1403
123,iPhone 11 ,4699,广东 深圳,1395
124,Vivo iQOO,2898,广东 东莞,1387
125,Huawei Honor 10,1599,广东 深圳,1352
126,Huawei Nova 6,3199,江苏 南京,1347
127,索爱 Z6,229,广东 深圳,1336
128,Huawei P30,3388,江苏 南京,1335
129,Huawei Honor 10,899,江苏 南京,1318
130,Huawei Mate 30 ,4999,江苏 南京,1301
131,天语 R7,98,广西 桂林,1284
132,Huawei 畅享 10,899,广东 深圳,1283
133,Huawei 畅享 9,799,广东 深圳,1276
134,NoKia,50,广东 深圳,1273
135,iPhone 11 ,5999,江苏 南京,1271
136,Huawei 畅享 9,779,安徽 合肥,1265
137,Huawei Honor 20,1099,江苏 南京,1264
138,Huawei Nova 5,1378,广东 深圳,1259
139,朵唯 D520,118,广东 深圳,1253
140,Redmi note 8,1299,北京,1252
141,纽曼 L99S,69,广东 深圳,1252
142,Huawei Honor 9,958,河南 郑州,1249
143,纽曼 S9,158,广东 深圳,1246
144,Huawei Mate 30,3288,北京,1233
145,iPhone 10,2780,江苏 南京,1232
146,OPPO K3 ,1399,江苏 南京,1231
147,纽曼 F6,109,广东 深圳,1218
148,Xiaomi cc9,2539,广东 深圳,1205
149,纽曼 U8,69,广东 深圳,1199
150,iPhone 10,1800,广东 深圳,1195
151,Huawei Mate 20,3288,广东 深圳,1190
152,OPPO Reno 2,2999,广东 东莞,1180
153,iPhone 8,1620,上海,1171
154,iPhone 8,1399,广东 深圳,1161
155,Xiaomi 9,2299,广东 深圳,1156
156,iPhone 10,3500,广东 深圳,1154
157,iPhone 8,2200,广东 深圳,1153
158,Vivo Z5,1398,江苏 南京,1150
159,Vivo X27,2498,上海,1126
160,Huawei 10,1299,广东 深圳,1117
161,iPhone 10,2730,广东 深圳,1116
162,iPhone 11 ,5088,山东 济南,1111
163,Xiaomi Note 8,948,广东 深圳,1111
164,诺基亚,139,广东 深圳,1107
165,Vivo Z5,1198,广东 东莞,1107
166,Huawei 9,749,广东 深圳,1102
167,NoKia,129,广东 深圳,1100
168,Xiaomi 9,3458,广东 深圳,1100
169,Xiaomi K20,1298,广东 深圳,1099
170,Huawei Nova 5,2499,广东 深圳,1097
171,Xiaomi 8,468,广东 深圳,1091
172,纽曼 V7 ,78,广东 深圳,1084
173,Huawei 9,1099,广东 深圳,1078
174,Huawei Nova 4,1149,江苏 南京,1074
175,iPhone 8,2150,广东 深圳,1072
176,Huawei 10,958,广东 深圳,1069
177,Xiaomi K20,1298,广东 深圳,1062
178,诺基亚,399,广东 深圳,1057
179,iPhone 11 ,5258,浙江 杭州,1056
180,iPhone 10,2710,北京,1045
181,Huawei Honor 20,1199,安徽 合肥,1043
182,小辣椒 K3,128,广东 深圳,1040
183,Huawei Honor 9,1099,广东 深圳,1036
184,Huawei Honor 20,1699,山东 济南,1027
185,iPhone 10,3380,广东 深圳,1022
186,OPPO Reno,2999,广东 广州,1018
187,Xiaomi 多亲ai,299,广东 深圳,1009
188,OPPO Reno,2999,江苏 南京,1004
189,Huawei Nova 6,2199,广东 深圳,998
190,Huawei Honor 8,1099,广东 深圳,995
191,Huawei Nova 5,2499,辽宁 大连,993
192,Huawei Mate 30 ,3999,江苏 南京,993
193,Huawei Nova5,1358,广东 深圳,989
194,Huawei Honor 8,599,江苏 南京,988
195,Huawei Nova 5,2699,广东 深圳,981
196,Huawei Honor 20,999,广东 深圳,964
197,iPhone 10,2200,广东 深圳,955
198,Huawei T2010,125,广东 深圳,951
199,iPhone 10,3300,广东 深圳,951
200,纽曼 N99,58,广东 惠州,950
201,iPhone 10,3499,广东 深圳,950
202,Huawei Nova 4,1599,广东 深圳,943
203,OPPO Reno,2999,上海,940
204,NoKia,139,广东 深圳,926
205,Huawei Honor 9,1199,广东 深圳,924
206,Samsung M30,1699,北京,922
207,iPhone 11,5499,浙江 杭州,910
208,Samsung M30,7999,北京,910
209,朵唯 P9,489,广东 深圳,900
210,Redmi K30 ,1699,江苏 南京,898
211,iPhone 10,3600,广东 深圳,895
212,iPhone 11,3550,上海,894
213,Xiaomi 9,1099,山东 济南,890
214,iPhone 8,1399,广东 深圳,885
215,OPPO R11,699,广东 深圳,874
216,飞利浦 E331,98,广东 深圳,872
217,Huawei Honor 10,858,广东 深圳,867
218,iPhone 10,3500,广东 深圳,866
219,飞利浦 E163,119,江苏 南京,859
220,Huawei Honor 30,3028,广东 深圳,845
221,iPhone 10,3500,广东 深圳,866
222,飞利浦 E163,119,江苏 南京,859
223,Huawei Honor,3028,广东 深圳,845
224,Vivo iQOO,2598,广东 东莞,842
225,OPPO K5,1799,上海,841
226,Huawei Mate 20,1898,广东 深圳,837
227,Huawei Nova 5,2499,北京,829
228,Huawei Nova 5,1368,广东 深圳,829
229,Huawei Honor 30,3038,广东 深圳,828
230,Xiaomi Note 8,999,山东 济南,825
231,Huawei Honor 20,1599,广东 深圳,821
232,Redmi K20,2399,北京,818
233,Vivo y67,260,广东 深圳,815
234,Samsung Galaxy S10,2458,上海,814
235,Huawei Nova 5,1388,广东 深圳,811
236,Huawei Nova 5,1369,河南 郑州,810
237,Huawei Mate 30,6399,广东 深圳,800
238,OPPO K5,1799,山东 济南,800
239,MeiZu Note 9,1199,广东 珠海,798
240,iPhone 10,3668,广东 深圳,792
241,Vivo iQOO,2198,江苏 南京,790
242,纽曼 P20,899,广东 深圳,788
243,Huawei Honor 20,1228,广东 深圳,785
244,天语 Q3 ,138,江苏 南京,784
245,Huawei Nova 5,2499,山东 济南,782
246,Vivo Z5,1398,山东 济南,780
247,Xiaomi 9,2399,上海,776
248,OPPO K3,1399,上海,771
249,Xiaomi 8,659,山东 济南,765
250,MeiZu x8,898,广东 珠海,752
251,Vivo iQOO,2098,广东 东莞,750
252,Huawei Honor 9,898,广东 深圳,749
253,Vivo Z5,1298,上海,745
254,朵唯 W88 ,78,广东 深圳,745
255,Huawei Mate 20,3999,广东 深圳,737
256,MeiZu 16,1098,广东 珠海,736
257,Vivo Z5,1398,广东 东莞,734
258,天语 T2,79,江苏 南京,733
259,Vivo iQOO,3198,广东 东莞,729
260,Huawei Honor 20,699,广东 深圳,722
261,Huawei P30,3388,广东 深圳,722
262,Huawei Honor 8,868,广东 深圳,721
263,Vivo Z1,1099,广东 东莞,719
264,YEPEN,118,广东 深圳,718
265,Huawei Honor Play3,799,广东 深圳,712
